SpT,Teff,L,R,M
O0,,,,
O1,,,,
O2,,,,
O3,,,,
O4,,,,
O5,42000,499000.0,13.4,60.0
O6,39500,324000.0,12.2,37.0
O7,37500,216000.0,11.0,
O8,35800,147000.0,10.0,23.0
O9,,,,
B0,30000,32500.0,6.7,17.5
B1,25400,9950.0,5.2,
B2,20900,2920.0,4.1,
B3,18800,1580.0,3.8,7.6
B4,,,,
B5,15200,480.0,3.2?5.9,
B6,13700,272.0,2.9,
B7,12500,160.0,2.7,
B8,11400,96.7,2.5,3.8
B9,10500,60.7,2.3,
F0,7300,5.21,1.4,1.6
F1,,,,
F2,7050,3.89,1.3,
F3,,,,
F4,,,,
F5,6650,2.56,1.2,1.4
F6,,,,
F7,,,,
F8,6250,1.68,1.1,
F9,,,,
G0,5940,1.25,1.06,1.05
G1,,,,
G2,5790,1.07,1.03,
G3,,,,
G4,,,,
G5,,,,
G6,,,,
G7,,,,
G8,5310,0.656,0.96,
G9,,,,
K0,5150,0.552,0.93,0.79
K1,4990,0.461,0.91,
K2,,,,
K3,4690,0.318,0.86,
K4,4540,0.263,0.83,
K5,4410,0.216,0.80,0.67
K6,,,,
K7,4150,0.145,0.74,
K8,,,,
K9,,,,
M0,3840,0.077,0.63,0.51
M1,3660,0.05,0.56,
M2,3520,0.032,0.48,0.4
M3,3400,0.02,0.41,
M4,,,,
M5,3170,0.0076,0.29,0.21
M6,3030,0.0044,0.24,
M7,2860,0.0025,0.20,
M8,,,,
M9,,,,
A0,9800,39.4,2.2,2.9
A1,9400,30.3,2.1,
A2,9020,23.6,2.0,
A5,8190,12.3,1.8,2.0
A8,7600,7.13,1.5,
